test_split_ratio,neighbors,brief_desc_size,baseline_acc,raw_img_acc,feat_acc
0.3,1,16,100.0,79.44444444444444,78.88888888888889
0.3,2,16,91.19047619047619,77.22222222222223,78.33333333333333
0.3,3,16,90.47619047619048,80.0,79.44444444444444
0.3,4,16,89.52380952380953,80.0,80.0
0.3,5,16,88.80952380952381,77.22222222222223,77.77777777777779
0.3,1,32,100.0,79.44444444444444,86.11111111111111
0.3,2,32,91.19047619047619,77.22222222222223,81.11111111111111
0.3,3,32,90.47619047619048,80.0,82.22222222222221
0.3,4,32,89.52380952380953,80.0,78.33333333333333
0.3,5,32,88.80952380952381,77.22222222222223,78.88888888888889
0.3,1,64,100.0,79.44444444444444,85.0
0.3,2,64,91.19047619047619,77.22222222222223,81.11111111111111
0.3,3,64,90.47619047619048,80.0,82.77777777777777
0.3,4,64,89.52380952380953,80.0,80.55555555555556
0.3,5,64,88.80952380952381,77.22222222222223,80.55555555555556